"","mu","sigma","nu","x","C3","C10","C25","C50","C75","C90","C97"
"1",2.01979699661393,0.356414338465107,-0.371952838890495,0,1.11015784285656,1.32462978738098,1.60439444651054,2.01979699661391,2.59822777216004,3.33210598129153,4.366898975167
"2",2.69643056728683,0.353985673969954,-0.360143701051734,2.21212121212121,1.4845936819265,1.77134276952216,2.14444643629075,2.69643056728683,3.46108811813327,4.42488510340364,5.77261303162014
"3",3.36927212717873,0.351573558784393,-0.348334563212972,4.42424242424242,1.85823191872835,2.21705878823416,2.68276978856378,3.36927212717873,4.31543601237536,5.50034491516439,7.14391467220677
"4",4.03832167628963,0.349177880138772,-0.336525425374211,6.63636363636364,2.2310755713024,2.66177246405589,3.21935145646341,4.03832167628963,5.16137887995184,6.55894733400872,8.48229650947175
"5",4.70357921461953,0.34679852603187,-0.32471628753545,8.84848484848485,2.60312751215458,3.10547822100838,3.75417831897244,4.70357921461953,5.99902118318616,7.60113371034711,9.78915487383719
"6",5.36504474216843,0.344435385225661,-0.312907149696688,11.0606060606061,2.97439046471071,3.54817028581622,4.2872371829518,5.36504474216843,6.82846452556895,8.62732598970715,11.0657975853894
"7",6.02271825893633,0.342088347240112,-0.301098011857927,13.2727272727273,3.34486699976232,3.98984268719396,4.81851478518427,6.02271825893633,7.64980775120906,9.63792779568245,12.3134509782914
"8",6.67659976492323,0.33975730234802,-0.289288874019166,15.4848484848485,3.71455953190655,4.43048925519847,5.34799779443193,6.67659976492323,8.46314704005188,10.6333254399756,13.5332662607575
"9",7.32668926012913,0.337442141569879,-0.277479736180404,17.6969696969697,4.08347031598209,4.87010362064843,5.87567281350652,7.32668926012913,9.26857599907666,11.6138888652529,14.7263252831407
"10",7.97298674455403,0.335142756668788,-0.265670598341643,19.9090909090909,4.45160144350354,5.30867921461174,6.40152638135164,7.97298674455403,10.066185749673,12.5799725260199,15.8936457777379
"11",8.61549221819793,0.33285904014539,-0.253861460502882,22.1212121212121,4.81895483909659,5.74620926796209,6.92554497513601,8.61549221819793,10.8560650113851,13.5319162122661,17.0361861262051
"12",9.25420568106083,0.330590885232843,-0.24205232266412,24.3333333333333,5.18553225693635,6.18268681100534,7.44771501235678,9.25420568106083,11.6383001822009,14.4700458202133,18.1548497037894
"13",9.88912713314273,0.328338185891835,-0.230243184825359,26.5454545454545,5.55133527719125,6.61810467317681,7.96802285295209,9.88912713314273,12.4129754155555,15.3946740741294,19.2504888437984
"14",10.5202565744436,0.326100836805622,-0.218434046986598,28.7575757575758,5.91636530247515,7.05245548281012,8.48645480142183,10.5202565744436,13.1801726942054,16.3061012028304,20.3239084606903
"15",11.1475940049635,0.323878733375103,-0.206624909147836,30.969696969697,6.28062355431011,7.48573166697852,9.00299710895576,11.1475940049635,13.9399719011245,17.2046155741893,21.3758693657819
"16",11.7711394247024,0.321671771713935,-0.194815771309075,33.1818181818182,6.64411106960253,7.91792545140929,9.5176359755681,11.7711394247024,14.6924508875639,18.0904942906916,22.4070913057461
"17",12.3908928336603,0.319479848643671,-0.183006633470314,35.3939393939394,7.00682869713523,8.34902886047203,10.0303575522377,12.3908928336603,15.4376855384071,18.9640037488298,23.4182557507166
"18",13.0068542318372,0.31730286168894,-0.171197495631552,37.6060606060606,7.36877709407831,8.77903371724125,10.5411479430525,13.0068542318372,16.1757498349498,19.8254001648982,24.4100084558883
